Tracking ID,Tracking Date,Store Number,Product Description,Promotions,Total Sales
3000891,8/16/17,1,BEVERAGES,20,2803
3000893,8/16/17,1,BREAD/BAKERY,12,232.343
3000894,8/16/17,1,CELEBRATION,0,13
3000895,8/16/17,1,CLEANING,25,720
3000896,8/16/17,1,DAIRY,45,710
3000897,8/16/17,1,DELI,18,144.572
3000898,8/16/17,1,EGGS,1,163
3000899,8/16/17,1,FROZEN FOODS,1,97
3000900,8/16/17,1,GROCERY I,64,2327
3000906,8/16/17,1,HOME CARE,10,211
3000908,8/16/17,1,LAWN AND GARDEN,16,20
3000912,8/16/17,1,MEATS,0,712.06
3000913,8/16/17,1,PERSONAL CARE,18,145
3000915,8/16/17,1,PLAYERS AND ELECTRONICS,0,7
3000916,8/16/17,1,POULTRY,0,709.636
3000917,8/16/17,1,PREPARED FOODS,0,127.85
3000918,8/16/17,1,PRODUCE,256,3951.501
3000920,8/16/17,1,SEAFOOD,0,30.559
3000921,8/16/17,10,AUTOMOTIVE,0,5
3000923,8/16/17,10,BEAUTY,2,1
3000924,8/16/17,10,BEVERAGES,43,370
3000926,8/16/17,10,BREAD/BAKERY,15,112
3000928,8/16/17,10,CLEANING,30,776
3000929,8/16/17,10,DAIRY,106,336
3000930,8/16/17,10,DELI,18,205
3000931,8/16/17,10,EGGS,1,11
3000932,8/16/17,10,FROZEN FOODS,1,50.571
3000933,8/16/17,10,GROCERY I,96,2463
3000935,8/16/17,10,HARDWARE,0,2
3000936,8/16/17,10,HOME AND KITCHEN I,2,24
3000939,8/16/17,10,HOME CARE,15,310
3000942,8/16/17,10,LINGERIE,5,6
3000945,8/16/17,10,MEATS,0,205.056
3000946,8/16/17,10,PERSONAL CARE,19,131
3000949,8/16/17,10,POULTRY,0,216.878
3000950,8/16/17,10,PREPARED FOODS,0,19
3000951,8/16/17,10,PRODUCE,230,351.215
3000953,8/16/17,10,SEAFOOD,0,5
3000954,8/16/17,11,AUTOMOTIVE,0,6
3000957,8/16/17,11,BEVERAGES,52,1836
3000959,8/16/17,11,BREAD/BAKERY,16,576
3000960,8/16/17,11,CELEBRATION,0,31
3000961,8/16/17,11,CLEANING,35,1189
3000962,8/16/17,11,DAIRY,145,320
3000963,8/16/17,11,DELI,18,244.813
3000964,8/16/17,11,EGGS,1,88
3000965,8/16/17,11,FROZEN FOODS,1,52
3000966,8/16/17,11,GROCERY I,102,6304.683
3000967,8/16/17,11,GROCERY II,0,21
3000969,8/16/17,11,HOME AND KITCHEN I,4,13
3000970,8/16/17,11,HOME AND KITCHEN II,6,13
3000972,8/16/17,11,HOME CARE,14,933
3000973,8/16/17,11,LADIESWEAR,0,16
3000975,8/16/17,11,LINGERIE,3,14
3000976,8/16/17,11,LIQUOR WINE BEER,8,81
3000978,8/16/17,11,MEATS,0,694.64
3000979,8/16/17,11,PERSONAL CARE,18,234
3000981,8/16/17,11,PLAYERS AND ELECTRONICS,1,10
3000982,8/16/17,11,POULTRY,0,776.195
3000983,8/16/17,11,PREPARED FOODS,0,41
3000984,8/16/17,11,PRODUCE,163,1988.468
3000986,8/16/17,11,SEAFOOD,0,14
3000987,8/16/17,12,AUTOMOTIVE,0,9
3000990,8/16/17,12,BEVERAGES,38,517
3000992,8/16/17,12,BREAD/BAKERY,17,152
3000994,8/16/17,12,CLEANING,29,695
3000995,8/16/17,12,DAIRY,115,272
3000996,8/16/17,12,DELI,18,120
3000997,8/16/17,12,EGGS,1,70
3000998,8/16/17,12,FROZEN FOODS,1,52
3000999,8/16/17,12,GROCERY I,87,2088
3001011,8/16/17,12,MEATS,0,159.299
3001012,8/16/17,12,PERSONAL CARE,15,213
3001014,8/16/17,12,PLAYERS AND ELECTRONICS,0,6
3001015,8/16/17,12,POULTRY,1,305.056
3001017,8/16/17,12,PRODUCE,219,341.653
3001023,8/16/17,13,BEVERAGES,33,453
3001025,8/16/17,13,BREAD/BAKERY,16,103
3001027,8/16/17,13,CLEANING,29,594
3001028,8/16/17,13,DAIRY,107,238
3001029,8/16/17,13,DELI,18,85
3001030,8/16/17,13,EGGS,1,54
3001031,8/16/17,13,FROZEN FOODS,1,15
3001032,8/16/17,13,GROCERY I,90,1654
3001039,8/16/17,13,LADIESWEAR,0,5
3001044,8/16/17,13,MEATS,0,131.586
3001045,8/16/17,13,PERSONAL CARE,20,143
3001048,8/16/17,13,POULTRY,0,135.026
3001049,8/16/17,13,PREPARED FOODS,0,14
3001050,8/16/17,13,PRODUCE,244,299.712
3001053,8/16/17,14,AUTOMOTIVE,0,4
3001056,8/16/17,14,BEVERAGES,38,441
3001058,8/16/17,14,BREAD/BAKERY,15,174
3001059,8/16/17,14,CELEBRATION,0,4
3001060,8/16/17,14,CLEANING,31,816
3001061,8/16/17,14,DAIRY,114,483
3001062,8/16/17,14,DELI,18,131
3001063,8/16/17,14,EGGS,1,41
3001064,8/16/17,14,FROZEN FOODS,1,13
3001065,8/16/17,14,GROCERY I,88,1907
3001068,8/16/17,14,HOME AND KITCHEN I,2,8
3001074,8/16/17,14,LINGERIE,4,5
3001075,8/16/17,14,LIQUOR WINE BEER,9,7
3001077,8/16/17,14,MEATS,0,381.589
3001078,8/16/17,14,PERSONAL CARE,17,194
3001081,8/16/17,14,POULTRY,0,86.333
3001082,8/16/17,14,PREPARED FOODS,0,38
3001083,8/16/17,14,PRODUCE,223,479.677
3001086,8/16/17,15,AUTOMOTIVE,0,8
3001088,8/16/17,15,BEAUTY,2,1
3001089,8/16/17,15,BEVERAGES,45,612
3001091,8/16/17,15,BREAD/BAKERY,17,199
3001092,8/16/17,15,CELEBRATION,0,4
3001093,8/16/17,15,CLEANING,32,620
3001094,8/16/17,15,DAIRY,114,329
3001095,8/16/17,15,DELI,19,262
3001096,8/16/17,15,EGGS,2,55
3001097,8/16/17,15,FROZEN FOODS,1,23
3001098,8/16/17,15,GROCERY I,105,3720
3001104,8/16/17,15,HOME CARE,15,233
3001105,8/16/17,15,LADIESWEAR,0,12
3001107,8/16/17,15,LINGERIE,5,1
3001108,8/16/17,15,LIQUOR WINE BEER,8,35
3001110,8/16/17,15,MEATS,0,149.201
3001111,8/16/17,15,PERSONAL CARE,16,180
3001114,8/16/17,15,POULTRY,0,97.654
3001115,8/16/17,15,PREPARED FOODS,0,20
3001116,8/16/17,15,PRODUCE,208,903.658
3001118,8/16/17,15,SEAFOOD,0,3
3001119,8/16/17,16,AUTOMOTIVE,0,5
3001122,8/16/17,16,BEVERAGES,34,401
3001124,8/16/17,16,BREAD/BAKERY,15,181
3001126,8/16/17,16,CLEANING,31,838
3001127,8/16/17,16,DAIRY,108,508
3001128,8/16/17,16,DELI,18,221
3001129,8/16/17,16,EGGS,1,258
3001130,8/16/17,16,FROZEN FOODS,1,12
3001131,8/16/17,16,GROCERY I,97,2578
3001135,8/16/17,16,HOME AND KITCHEN II,6,9
3001143,8/16/17,16,MEATS,0,68.885
3001144,8/16/17,16,PERSONAL CARE,19,164
3001147,8/16/17,16,POULTRY,1,76.512
3001148,8/16/17,16,PREPARED FOODS,1,62
3001149,8/16/17,16,PRODUCE,211,1062.49
3001151,8/16/17,16,SEAFOOD,0,5
3001152,8/16/17,17,AUTOMOTIVE,0,5
3001155,8/16/17,17,BEVERAGES,34,1173
3001157,8/16/17,17,BREAD/BAKERY,15,204
3001159,8/16/17,17,CLEANING,30,772
3001160,8/16/17,17,DAIRY,139,404
3001161,8/16/17,17,DELI,18,232
3001162,8/16/17,17,EGGS,1,72
3001163,8/16/17,17,FROZEN FOODS,1,29
3001164,8/16/17,17,GROCERY I,91,2576
3001167,8/16/17,17,HOME AND KITCHEN I,2,19
3001170,8/16/17,17,HOME CARE,16,267
3001176,8/16/17,17,MEATS,0,220.509
3001177,8/16/17,17,PERSONAL CARE,16,130
3001180,8/16/17,17,POULTRY,0,348.53
3001181,8/16/17,17,PREPARED FOODS,0,59
3001182,8/16/17,17,PRODUCE,177,1054.232
3001184,8/16/17,17,SEAFOOD,0,20
3001185,8/16/17,18,AUTOMOTIVE,0,2
3001188,8/16/17,18,BEVERAGES,40,952
3001190,8/16/17,18,BREAD/BAKERY,17,656
3001192,8/16/17,18,CLEANING,34,602
3001193,8/16/17,18,DAIRY,161,444
3001194,8/16/17,18,DELI,18,154.771
3001195,8/16/17,18,EGGS,1,112
3001196,8/16/17,18,FROZEN FOODS,1,28
3001197,8/16/17,18,GROCERY I,97,1607.357
3001203,8/16/17,18,HOME CARE,16,204
3001209,8/16/17,18,MEATS,0,162.8255
3001210,8/16/17,18,PERSONAL CARE,21,118
3001213,8/16/17,18,POULTRY,1,165.4432
3001214,8/16/17,18,PREPARED FOODS,1,45
3001215,8/16/17,18,PRODUCE,156,2035.715
